XD,TimeStamp,travel_time_seconds
448838574.0,2022-09-10 12:00:00,27.8525
448838574.0,2022-09-10 13:00:00,26.9975
448838574.0,2022-09-10 14:00:00,24.5875
448838574.0,2022-09-10 15:00:00,23.825
448838574.0,2022-09-10 16:00:00,24.432499
448838574.0,2022-09-10 17:00:00,24.4975
448838574.0,2022-09-10 18:00:00,23.3975
448838574.0,2022-09-10 19:00:00,24.48
448838574.0,2022-09-11 06:00:00,19.075
448838574.0,2022-09-11 07:00:00,20.2075
448838574.0,2022-09-11 08:00:00,21.42
448838574.0,2022-09-11 09:00:00,23.1375
448838574.0,2022-09-11 10:00:00,22.9225
448838574.0,2022-09-11 11:00:00,21.2275
448838574.0,2022-09-11 12:00:00,27.885
448838574.0,2022-09-11 13:00:00,26.105
448838574.0,2022-09-11 14:00:00,26.7175
448838574.0,2022-09-11 15:00:00,23.98
448838574.0,2022-09-11 16:00:00,25.94
448838574.0,2022-09-11 17:00:00,23.6425
448838574.0,2022-09-11 18:00:00,22.3425
448838574.0,2022-09-11 19:00:00,22.545
448838574.0,2022-09-12 06:00:00,21.3075
448838574.0,2022-09-12 07:00:00,22.46
448838574.0,2022-09-12 08:00:00,24.2175
448838574.0,2022-09-12 09:00:00,23.0325
448838574.0,2022-09-12 10:00:00,22.15
448838574.0,2022-09-12 11:00:00,23.1525
448838574.0,2022-09-12 12:00:00,25.885
448838574.0,2022-09-12 13:00:00,25.57
448838574.0,2022-09-12 14:00:00,27.5475
448838574.0,2022-09-12 15:00:00,39.3175
448838574.0,2022-09-12 16:00:00,35.7125
448838574.0,2022-09-12 17:00:00,65.2725
448838574.0,2022-09-12 18:00:00,25.195
448838574.0,2022-09-12 19:00:00,23.1475
448838574.0,2022-09-13 06:00:00,25.6075
448838574.0,2022-09-13 07:00:00,23.965
448838574.0,2022-09-13 08:00:00,23.7725
448838574.0,2022-09-13 09:00:00,23.835
448838574.0,2022-09-13 10:00:00,23.235
448838574.0,2022-09-13 11:00:00,25.130001
448838574.0,2022-09-13 12:00:00,26.6525
448838574.0,2022-09-13 13:00:00,25.1025
448838574.0,2022-09-13 14:00:00,27.689999
448838574.0,2022-09-13 15:00:00,31.9
448838574.0,2022-09-13 16:00:00,40.085
448838574.0,2022-09-13 17:00:00,35.9625
448838574.0,2022-09-13 18:00:00,25.775
448838574.0,2022-09-13 19:00:00,25.6075
448838574.0,2022-09-14 06:00:00,19.275
448838574.0,2022-09-14 07:00:00,25.0
448838574.0,2022-09-14 08:00:00,25.15
448838574.0,2022-09-14 09:00:00,23.8225
448838574.0,2022-09-14 10:00:00,24.7325
448838574.0,2022-09-14 11:00:00,23.375
448838574.0,2022-09-14 12:00:00,24.8375
448838574.0,2022-09-14 13:00:00,26.635
448838574.0,2022-09-14 14:00:00,29.0325
448838574.0,2022-09-14 15:00:00,40.375
448838574.0,2022-09-14 16:00:00,33.4475
448838574.0,2022-09-14 17:00:00,38.4975
448838574.0,2022-09-14 18:00:00,26.5975
448838574.0,2022-09-14 19:00:00,23.075
448838574.0,2022-09-15 06:00:00,22.2925
448838574.0,2022-09-15 07:00:00,25.8725
448838574.0,2022-09-15 08:00:00,25.715
448838574.0,2022-09-15 09:00:00,22.9875
448838574.0,2022-09-15 10:00:00,23.265
448838574.0,2022-09-15 11:00:00,24.9275
448838574.0,2022-09-15 12:00:00,26.1875
448838574.0,2022-09-15 13:00:00,27.96
448838574.0,2022-09-15 14:00:00,28.645
448838574.0,2022-09-15 15:00:00,38.345
448838574.0,2022-09-15 16:00:00,43.9
448838574.0,2022-09-15 17:00:00,41.144997
448838574.0,2022-09-15 18:00:00,27.95
448838574.0,2022-09-15 19:00:00,24.2475
448838574.0,2022-09-16 06:00:00,21.4125
448838574.0,2022-09-16 07:00:00,22.16
448838574.0,2022-09-16 08:00:00,22.805
448838574.0,2022-09-16 09:00:00,24.85
448838574.0,2022-09-16 10:00:00,23.985
448838574.0,2022-09-16 11:00:00,25.7475
448838574.0,2022-09-16 12:00:00,28.115
448838574.0,2022-09-16 13:00:00,29.932499
448838574.0,2022-09-16 14:00:00,34.6275
448838574.0,2022-09-16 15:00:00,38.1425
448838574.0,2022-09-16 16:00:00,41.177498
448838574.0,2022-09-16 17:00:00,35.12
448838574.0,2022-09-16 18:00:00,26.127499
448838574.0,2022-09-16 19:00:00,23.9775
448838574.0,2022-09-17 06:00:00,19.279999
448838574.0,2022-09-17 07:00:00,20.545
448838574.0,2022-09-17 08:00:00,21.42
448838574.0,2022-09-17 09:00:00,23.235
448838574.0,2022-09-17 10:00:00,26.13
448838574.0,2022-09-17 11:00:00,26.8675
448838574.0,2022-09-17 12:00:00,26.182499
448838574.0,2022-09-17 13:00:00,23.66
448838574.0,2022-09-17 14:00:00,23.535
448838574.0,2022-09-17 15:00:00,25.925
448838574.0,2022-09-17 16:00:00,24.6575
448838574.0,2022-09-17 17:00:00,23.3475
448838574.0,2022-09-17 18:00:00,23.7925
448838574.0,2022-09-17 19:00:00,26.7725
448838574.0,2022-09-18 06:00:00,17.8575
448838574.0,2022-09-18 07:00:00,18.2975
448838574.0,2022-09-18 08:00:00,19.6725
448838574.0,2022-09-18 09:00:00,22.8725
448838574.0,2022-09-18 10:00:00,21.7025
448838574.0,2022-09-18 11:00:00,23.05
448838574.0,2022-09-18 12:00:00,24.817501
448838574.0,2022-09-18 13:00:00,39.395
448838574.0,2022-09-18 14:00:00,26.305
448838574.0,2022-09-18 15:00:00,25.205
448838574.0,2022-09-18 16:00:00,24.654999
448838574.0,2022-09-18 17:00:00,24.34
448838574.0,2022-09-18 18:00:00,22.0275
448838574.0,2022-09-18 19:00:00,22.5425
448838574.0,2022-09-19 06:00:00,21.7625
448838574.0,2022-09-19 07:00:00,23.9475
448838574.0,2022-09-19 08:00:00,23.9875
448838574.0,2022-09-19 09:00:00,22.09
448838574.0,2022-09-19 10:00:00,21.692501
448838574.0,2022-09-19 11:00:00,24.029999
448838574.0,2022-09-19 12:00:00,26.255
448838574.0,2022-09-19 13:00:00,23.025002
448838574.0,2022-09-19 14:00:00,25.705
448838574.0,2022-09-19 15:00:00,34.415
448838574.0,2022-09-19 16:00:00,40.5325
448838574.0,2022-09-19 17:00:00,39.004997
448838574.0,2022-09-19 18:00:00,25.27
448838574.0,2022-09-19 19:00:00,25.2425
448838574.0,2022-09-20 06:00:00,22.6975
448838574.0,2022-09-20 07:00:00,23.9875
448838574.0,2022-09-20 08:00:00,23.7225
448838574.0,2022-09-20 09:00:00,23.1025
448838574.0,2022-09-20 10:00:00,24.455
448838574.0,2022-09-20 11:00:00,24.0875
448838574.0,2022-09-20 12:00:00,26.4275
448838574.0,2022-09-20 13:00:00,25.55
448838574.0,2022-09-20 14:00:00,29.1125
448838574.0,2022-09-20 15:00:00,51.7625
448838574.0,2022-09-20 16:00:00,41.275
448838574.0,2022-09-20 17:00:00,45.120003
448838574.0,2022-09-20 18:00:00,28.2225
448838574.0,2022-09-20 19:00:00,26.5125
448838574.0,2022-09-21 06:00:00,20.795
448838574.0,2022-09-21 07:00:00,24.130001
448838574.0,2022-09-21 08:00:00,24.835001
448838574.0,2022-09-21 09:00:00,23.6375
448838574.0,2022-09-21 10:00:00,24.407501
448838574.0,2022-09-21 11:00:00,24.36
448838574.0,2022-09-21 12:00:00,24.2
448838574.0,2022-09-21 13:00:00,27.46
448838574.0,2022-09-21 14:00:00,28.445
448838574.0,2022-09-21 15:00:00,31.4125
448838574.0,2022-09-21 16:00:00,46.4225
448838574.0,2022-09-21 17:00:00,39.614998
448838574.0,2022-09-21 18:00:00,25.6075
448838574.0,2022-09-21 19:00:00,25.6375
448838574.0,2022-09-22 06:00:00,20.16
448838574.0,2022-09-22 07:00:00,24.5775
448838574.0,2022-09-22 08:00:00,24.135
448838574.0,2022-09-22 09:00:00,23.4225
448838574.0,2022-09-22 10:00:00,24.0
448838574.0,2022-09-22 11:00:00,26.342499
448838574.0,2022-09-22 12:00:00,24.3925
448838574.0,2022-09-22 13:00:00,25.7275
448838574.0,2022-09-22 14:00:00,28.775
448838574.0,2022-09-22 15:00:00,40.175003
448838574.0,2022-09-22 16:00:00,40.885
448838574.0,2022-09-22 17:00:00,53.7675
